2023-12-01 13:37:45,237 INFO    MainThread:15256 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_setup.py:_flush():76] Configure stats pid to 15256
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_setup.py:_flush():76] Loading settings from /home/g/.config/wandb/settings
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_setup.py:_flush():76] Loading settings from /home/g/mats/sae/wandb/settings
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ae_on_heads_w_keith/z_sae.py', 'program_abspath': '/home/g/mats/sae/ae_on_heads_w_keith/z_sae.py', 'program': '/home/g/mats/sae/ae_on_heads_w_keith/z_sae.py'}
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_init.py:_log_setup():524] Logging user logs to /home/g/mats/sae/wandb/run-20231201_133745-1yohch1z/logs/debug.log
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_init.py:_log_setup():525] Logging internal logs to /home/g/mats/sae/wandb/run-20231201_133745-1yohch1z/logs/debug-internal.log
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_init.py:init():564] calling init triggers
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'ex1': 1, 'str_ex1': 'a string'}
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_init.py:init():614] starting backend
2023-12-01 13:37:45,238 INFO    MainThread:15256 [wandb_init.py:init():618] setting up manager
2023-12-01 13:37:45,241 INFO    MainThread:15256 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-12-01 13:37:45,244 INFO    MainThread:15256 [wandb_init.py:init():624] backend started and connected
2023-12-01 13:37:45,353 INFO    MainThread:15256 [wandb_init.py:init():716] updated telemetry
2023-12-01 13:37:45,358 INFO    MainThread:15256 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-12-01 13:37:45,820 INFO    MainThread:15256 [wandb_run.py:_on_init():2254] communicating current version
2023-12-01 13:37:46,030 INFO    MainThread:15256 [wandb_run.py:_on_init():2263] got version response 
2023-12-01 13:37:46,030 INFO    MainThread:15256 [wandb_init.py:init():800] starting run threads in backend
2023-12-01 13:37:46,104 INFO    MainThread:15256 [wandb_run.py:_console_start():2233] atexit reg
2023-12-01 13:37:46,105 INFO    MainThread:15256 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-12-01 13:37:46,105 INFO    MainThread:15256 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-12-01 13:37:46,105 INFO    MainThread:15256 [wandb_run.py:_redirect():2178] Redirects installed.
2023-12-01 13:37:46,106 INFO    MainThread:15256 [wandb_init.py:init():841] run started, returning control to user process
